embedding_boost,text_boost,Retrieval Accuracy,Average Position,MRR,Average Precision,Average Recall,Total Questions,Total Openai json error,Total contexts found,Total positions sum
3.0,0.5,0.475,2.126,0.321,0.109,0.251,318,0,151,321
3.25,0.5,0.481,2.144,0.326,0.111,0.254,318,0,153,328
3.5,0.5,0.478,2.112,0.324,0.11,0.254,318,0,152,321
3.75,0.5,0.478,2.099,0.326,0.109,0.252,318,0,152,319
4.0,0.5,0.475,2.152,0.316,0.109,0.252,318,0,151,325
4.25,0.5,0.475,2.146,0.318,0.109,0.253,318,0,151,324
4.5,0.5,0.478,2.184,0.316,0.11,0.255,318,0,152,332
4.75,0.5,0.487,2.174,0.324,0.111,0.257,318,0,155,337
5.0,0.5,0.478,2.184,0.315,0.109,0.256,318,0,152,332
5.25,0.5,0.487,2.187,0.322,0.111,0.258,318,0,155,339
5.5,0.5,0.491,2.212,0.32,0.112,0.26,318,0,156,345
5.75,0.5,0.491,2.218,0.319,0.112,0.26,318,0,156,346
6.0,0.5,0.503,2.288,0.32,0.114,0.262,318,0,160,366
6.25,0.5,0.494,2.242,0.32,0.113,0.261,318,0,157,352
6.5,0.5,0.5,2.252,0.32,0.113,0.261,318,0,159,358
6.75,0.5,0.5,2.252,0.323,0.113,0.262,318,0,159,358
7.0,0.5,0.497,2.209,0.325,0.113,0.263,318,0,158,349
0.0,0.75,0.434,2.0,0.307,0.1,0.237,318,0,138,276
0.25,0.75,0.443,2.021,0.313,0.103,0.243,318,0,141,285
0.5,0.75,0.443,2.092,0.306,0.102,0.242,318,0,141,295
0.75,0.75,0.447,2.07,0.311,0.102,0.239,318,0,142,294
1.0,0.75,0.453,2.056,0.314,0.103,0.242,318,0,144,296
1.25,0.75,0.45,2.063,0.312,0.103,0.241,318,0,143,295
1.5,0.75,0.456,2.062,0.317,0.104,0.244,318,0,145,299
1.75,0.75,0.447,2.092,0.309,0.103,0.243,318,0,142,297
2.0,0.75,0.462,2.109,0.317,0.107,0.248,318,0,147,310
2.25,0.75,0.456,2.097,0.31,0.105,0.246,318,0,145,304
2.5,0.75,0.469,2.114,0.321,0.108,0.251,318,0,149,315
2.75,0.75,0.465,2.122,0.317,0.107,0.251,318,0,148,314
3.0,0.75,0.456,2.124,0.31,0.105,0.246,318,0,145,308
3.25,0.75,0.465,2.169,0.31,0.107,0.248,318,0,148,321
3.5,0.75,0.459,2.11,0.312,0.106,0.248,318,0,146,308
3.75,0.75,0.469,2.141,0.315,0.108,0.25,318,0,149,319
4.0,0.75,0.459,2.151,0.309,0.106,0.247,318,0,146,314
4.25,0.75,0.462,2.136,0.315,0.106,0.247,318,0,147,314
4.5,0.75,0.462,2.143,0.313,0.106,0.248,318,0,147,315
4.75,0.75,0.475,2.126,0.321,0.109,0.252,318,0,151,321
5.0,0.75,0.472,2.16,0.318,0.108,0.252,318,0,150,324
5.25,0.75,0.475,2.113,0.323,0.109,0.253,318,0,151,319
5.5,0.75,0.478,2.125,0.323,0.109,0.253,318,0,152,323
5.75,0.75,0.484,2.143,0.326,0.111,0.255,318,0,154,330
6.0,0.75,0.481,2.137,0.323,0.111,0.254,318,0,153,327
6.25,0.75,0.481,2.163,0.32,0.111,0.254,318,0,153,331
6.5,0.75,0.475,2.166,0.317,0.109,0.253,318,0,151,327
6.75,0.75,0.475,2.199,0.314,0.109,0.252,318,0,151,332
7.0,0.75,0.478,2.132,0.322,0.109,0.255,318,0,152,324
0.0,1.0,0.434,2.022,0.305,0.1,0.237,318,0,138,279
0.25,1.0,0.443,2.043,0.31,0.103,0.242,318,0,141,288
0.5,1.0,0.45,2.035,0.315,0.105,0.246,318,0,143,291
0.75,1.0,0.453,2.083,0.314,0.104,0.243,318,0,144,300
1.0,1.0,0.453,2.062,0.314,0.103,0.241,318,0,144,297
1.25,1.0,0.456,2.09,0.313,0.104,0.242,318,0,145,303
1.5,1.0,0.453,2.083,0.315,0.104,0.243,318,0,144,300
1.75,1.0,0.45,2.063,0.311,0.103,0.242,318,0,143,295
2.0,1.0,0.44,2.021,0.31,0.101,0.241,318,0,140,283
2.25,1.0,0.459,2.075,0.315,0.106,0.247,318,0,146,303
2.5,1.0,0.45,2.056,0.313,0.104,0.245,318,0,143,294
2.75,1.0,0.465,2.128,0.316,0.107,0.248,318,0,148,315
3.0,1.0,0.462,2.054,0.32,0.106,0.248,318,0,147,302
3.25,1.0,0.459,2.103,0.314,0.106,0.248,318,0,146,307
